"price","processor_speed","battery_capacity","ram_capacity","internal_memory"
14999,2.4,5000,6,128
14965,2.4,5000,4,64
16999,2.4,5000,6,128
8999,1.8,5000,4,64
8990,1.6,5000,4,64
11828,1.8,5000,4,64
12787,1.8,5000,4,128
13999,1.8,5000,6,128
28994,2.84,5000,8,128
40990,3.2,5000,8,128
49959,3,5000,8,128
46999,3,5000,12,256
30994,2.84,4500,8,128
32990,3.2,4500,8,128
27999,2.4,4300,8,128
31994,2.85,5000,8,128
24999,3.2,5000,6,128
26499,3.2,5000,8,128
28499,3.2,5000,8,256
29999,3,5000,8,128
34999,3.2,4600,8,128
31999,3.2,5000,8,128
10499,2,6000,4,64
16999,2.2,5000,6,128
19999,2.4,5000,8,128
10999,2,5000,4,64
15499,2,5000,6,128
17999,2.4,5000,6,128
14999,2.4,5000,4,128
13499,2.4,5000,4,64
20490,2.5,5000,6,128
22999,2.5,5000,8,128
11499,2,6000,4,64
11399,1.82,5000,4,64
11879,1.82,5000,4,128
7999,1.82,5000,3,32
8720,1.82,5000,4,64
9999,2,5000,4,128
14999,2.2,5000,6,128
10990,2.2,5000,4,128
14990,2.2,5000,6,128
27999,2.84,4200,12,256
24999,2.84,4200,8,128
26999,3,4500,8,128
13279,2.3,4000,4,64
18999,2.3,5000,6,128
19999,2.4,5000,6,128
7249,1.6,5000,3,32
11499,1.6,5000,4,64
8499,2.3,5000,3,32
12990,2,5000,4,64
14499,2,5000,4,128
11999,2.3,5000,4,64
13999,2.3,5000,6,128
17990,2.2,5000,4,64
16499,2.4,5000,4,64
18999,2.4,5000,6,128
20999,2.4,5000,8,128
18499,2,5000,6,128
17990,2.2,5000,6,128
18499,2.4,5000,6,128
19990,2.4,5000,8,128
22999,2.2,5000,6,128
24999,2.2,5000,8,128
17999,1.8,4000,6,64
16499,2,5000,6,128
16499,2,5000,8,128
24499,2,5000,6,128
25999,2.4,5000,6,128
27499,2.4,5000,8,128
17990,2.2,3100,4,64
15990,2.3,4000,4,128
24990,2.3,4500,6,128
22494,2.3,4500,8,128
36499,2.4,5000,8,256
31999,2.4,5000,6,128
33499,2.4,5000,8,128
22494,2.2,4500,8,128
39990,2.96,4500,6,128
39990,3.2,4500,6,128
8499,2.3,5000,4,64
10499,2,6000,4,64
10999,2,6000,4,64
11999,2,6000,4,128
15999,2.2,5000,4,128
16999,2.2,5000,6,128
14999,2.2,5000,4,128
19999,2.3,6000,6,128
15490,2.2,5000,6,128
22999,2.2,5000,8,128
21999,2,7000,6,128
8499,2.3,5000,4,64
9499,2.3,5000,4,128
10999,2,6000,4,64
12999,2,6000,6,128
10630,2,6000,4,64
13999,2.2,5000,6,128
12944,2.2,5000,4,64
11725,2.3,6000,4,64
12364,2,6000,4,64
14490,2,6000,6,128
12120,2,6000,4,64
14859,2,6000,6,128
17478,2.4,6000,6,128
19499,2.4,6000,8,128
16999,2.4,6000,6,128
23790,2.4,5000,6,128
25289,2.4,5000,8,128
34999,2.84,6000,6,128
39999,2.7,4500,6,128
58999,2.73,4300,12,256
86000,2.73,4300,8,256
78990,2.7,4500,8,256
42999,2.7,4100,8,128
41999,2.73,4000,8,128
74999,2.73,4000,8,128
35489,2.73,4500,8,128
83000,2.73,4500,8,128
48900,2.9,4000,8,128
39999,2.9,4500,8,128
43999,2.9,4500,8,256
59450,2.9,4800,8,128
49999,3,3700,8,128
57999,3,3700,8,256
64449,3,4500,8,128
88999,3,4500,8,256
70990,3.2,3900,8,128
84990,3.2,4700,8,256
110999,2.84,4400,12,256
69999,2.84,4000,8,256
27999,2,3600,4,128
30990,2,4500,6,64
69990,2.84,4000,8,128
82199,3,5000,8,256
19990,2,5000,8,128
8990,2,3000,3,32
11499,2,5000,4,128
14746,2,5000,6,128
14999,2,5000,6,128
17990,2.05,5000,8,128
21999,2.4,5000,8,128
17999,2.05,5000,8,128
20999,2.2,5000,6,128
25999,2.05,4700,8,256
22999,2.05,5000,8,256
39999,3.05,5160,8,256
49999,3.05,5160,12,256
10999,2,7000,4,64
9999,2,7000,4,64
13799,2,7000,6,128
11999,2.2,6000,8,128
15999,2.2,6000,8,256
15499,2.4,6000,8,128
15499,2.4,6000,4,128
8799,2,5000,4,64
9999,2,5000,4,64
8968,2.3,5000,4,64
6999,2,5000,3,32
29999,2,4500,8,128
29990,3.2,4600,8,128
35499,3.1,4600,8,256
14499,2.4,5000,4,128
15999,2.4,5000,6,128
17999,2.4,5000,8,128
15990,2.2,5000,4,128
16990,2.2,5000,6,128
19990,2.2,5000,8,128
23999,2.4,4700,6,128
24999,2.4,4700,8,128
12999,2.4,5000,4,128
14999,2.4,5000,6,128
11999,2.4,5000,4,64
24990,3.2,4700,8,128
18990,3,6000,8,128
31990,2.7,4700,8,256
9990,2,5000,4,64
11990,2,5000,6,64
8990,2,5000,6,64
27990,2.3,4500,8,256
23269,2.3,4000,8,128
27000,2.4,4000,8,128
19000,2,4100,8,128
24999,2.4,4000,8,128
23994,2.4,4000,8,128
32999,2.4,4300,8,128
29999,2.4,4000,8,128
24994,2.5,4200,8,128
27994,2.5,4200,12,256
31994,3,4300,8,128
36994,3,4300,12,256
26990,2.05,4050,8,128
21994,2.4,4050,8,128
31999,2,4500,12,256
27999,2,4500,8,128
39999,3,4830,12,256
35999,3,4830,8,128
19990,2.2,4500,8,256
42990,3.2,4800,12,256
27990,2.2,4700,8,256
43999,3.2,5000,12,256
28990,2.2,5000,8,256
32990,2.4,5000,8,256
54999,3.05,4500,8,128
59999,3.05,4500,12,256
41990,3.05,4810,8,128
7790,2.3,5000,2,32
8990,2.3,5000,3,32
29990,2.4,5000,8,128
9999,2.3,5000,3,32
10499,2.3,5000,3,64
12489,2.3,5000,4,64
20000,2,5000,4,128
13990,2,5000,4,64
13489,2.3,5000,4,64
12499,2.4,5000,3,64
14990,2,5000,4,128
15499,2.4,5000,4,128
14499,2,5000,4,64
16499,2,5000,6,128
14990,2.4,5000,8,128
16685,2,5000,8,128
15990,2.4,5000,8,128
18499,2.4,5000,8,128
13999,2.2,5000,4,128
15490,2,5000,8,128
11999,2,6000,4,128
22990,2.4,5000,8,128
20990,2.2,5000,4,128
21999,2.2,5000,4,128
19990,2.2,6000,8,128
19990,2.05,4000,8,128
16990,2,6000,8,128
19990,2.05,4050,8,128
21990,2.2,5000,8,128
17990,2.2,4500,6,128
24990,2.5,5160,8,128
24820,2.5,4500,6,128
26999,2.5,4500,8,128
38999,2.84,5000,12,256
29990,2.4,4300,6,128
50990,3,4600,8,256
48990,2.85,5000,8,128
59990,3.2,5000,8,128
46990,3.2,4500,8,128
54999,3.2,5000,12,256
29999,2.4,4500,8,128
32990,3.1,5000,8,256
54999,2.84,4780,8,256
23500,2.84,5000,6,128
29999,2.84,5000,8,128
18699,2.3,4250,8,128
21890,2.4,4250,6,128
22999,2.4,4250,8,128
23499,2.5,5160,6,128
34990,2.84,5000,8,128
23890,3.2,4520,6,128
25990,3.2,4520,8,128
30990,2.84,4520,8,128
42990,3,4500,8,128
9589,2.4,6000,4,64
11999,2.4,6000,6,128
11999,2.4,6000,8,128
12390,2,6000,4,64
12999,2,6000,6,128
13990,2.2,5000,4,128
13990,2.4,6000,4,64
14990,2.4,6000,4,128
11600,2.2,5000,4,64
13774,2.2,5000,6,128
13466,2.2,5000,4,64
15990,2.2,5000,6,128
17990,2,5100,6,128
10990,2.2,5000,4,128
11490,2,5000,4,64
11499,2,6000,4,64
9299,2,5000,4,128
7499,2,5000,4,64
7289,2,5000,2,32
8399,2,5000,3,32
480000,2.8,4000,8,256
27990,2.85,5500,8,128
39999,3.2,5000,8,128
25999,2.85,5080,8,256
22999,2.85,5080,6,128
29990,3.2,5500,8,128
54990,3.2,5000,8,128
38999,3.2,5000,8,128
25999,3.1,5500,8,128
28999,3.1,5080,8,128
13990,2.2,5000,4,64
16499,2.2,5000,6,128
12490,2.2,5000,4,128
9999,2.3,5020,4,64
12499,2.3,5020,4,128
11999,2.3,5020,6,128
17999,2.3,5020,6,128
16999,2.6,5000,6,128
19999,2.3,5020,6,64
19980,2.3,5020,6,128
10999,2.05,5000,6,64
11999,2.05,5000,6,128
13999,2.05,5000,8,128
12999,2.2,5000,4,64
13999,2.2,5000,6,128
11936,2.4,5000,4,64
14290,2.4,5000,6,128
12188,2.4,5000,6,64
14990,2.4,5000,4,128
17999,2.05,5000,6,128
17990,2.2,5000,6,64
19999,2.4,5200,6,128
19999,2.2,5000,6,128
22700,2.2,5000,8,128
22999,2.2,5000,8,256
13990,2.2,5000,4,128
12990,2.2,5000,4,128
14590,2.05,5000,6,64
15499,2.05,5000,6,128
15824,2.05,5000,8,128
11999,2.05,5000,6,64
16999,2.4,5000,6,64
16999,2.4,5000,6,128
18499,2.4,5000,8,128
19990,2.85,5080,6,128
17859,2,5000,4,128
19988,2,5000,6,128
13999,2.2,5000,4,64
26990,2.6,4300,8,256
24999,2.6,4300,8,256
26999,2.6,5000,8,128
27994,2.6,5000,8,256
14999,2.3,5000,6,128
24762,2.6,5000,6,128
32999,2.36,5200,6,128
29999,2.6,4980,8,256
32999,2.6,4980,12,256
26999,2.6,4980,6,128
19999,2.4,5000,8,128
15999,2,5000,6,64
17990,2,5000,6,128
20499,2.36,5200,6,128
9990,2,4000,4,64
16999,2.05,4500,6,64
11989,2,5020,4,64
13999,2.3,5020,4,64
14439,2.3,5020,4,128
16490,2.3,5020,6,64
19999,3.2,4200,6,128
61990,3,5000,8,128
